source_date,original_source,vessel_name,imo,ircs,vessel_flag_alpha3,vessel_type_code,external_marking,gross_tonnage,length_type,length_value,length_unit,engine_power,engine_power_unit,authorization_status,auth_start_date,auth_end_date,authorizing_country_alpha3,authorizing_country_group,species_description,scientific_name,sender
20250826,NEAFC,Streymsund,,OW2418,FRO,LL,TN0353,109.0,LOA,32.0,METER,350.0,KILOWATT,ACTIVE,2025-05-27,2025-12-31,FRO,Individual,All deep-sea species,,FRO
20250826,NEAFC,Anru,,XPSI,FRO,LL,KG0730,89.0,LOA,19.0,METER,336.0,KILOWATT,ACTIVE,2025-05-26,2025-12-31,FRO,Individual,All deep-sea species,,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Northern prawn,Pandalus borealis,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Atlantic cod,Gadus morhua,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Beaked redfish,Sebastes mentella,FRO
20250826,NEAFC,Hvitanes,,XPTI,FRO,TTF,TN 1230,2045.0,LOA,60.0,METER,4080.0,KILOWATT,ACTIVE,2025-03-19,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Eysturbugvin,,XPZF,FRO,MTS,SA0450,259.0,LOA,44.0,METER,1596.0,KILOWATT,ACTIVE,2025-02-06,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Eysturbugvin,,XPZF,FRO,MTS,SA0450,259.0,LOA,44.0,METER,1596.0,KILOWATT,ACTIVE,2025-02-06,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Eysturbugvin,,XPZF,FRO,MTS,SA0450,259.0,LOA,44.0,METER,1596.0,KILOWATT,ACTIVE,2025-02-06,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Emerald,,XPUA,FRO,TTF,TN 181,5852.0,LOA,79.0,METER,7320.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Beaked redfish,Sebastes mentella,FRO
20250826,NEAFC,Emerald,,XPUA,FRO,TTF,TN 181,5852.0,LOA,79.0,METER,7320.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,All deep-sea species,,FRO
20250826,NEAFC,Jupiter,,XPYT,FRO,MTS,VN 99,843.0,LOA,68.0,METER,8000.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Jupiter,,XPYT,FRO,MTS,VN 99,843.0,LOA,68.0,METER,8000.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Sandshavid,,XPRK,FRO,LL,SA0499,273.0,LOA,42.0,METER,735.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,All deep-sea species,,FRO
20250826,NEAFC,Emerald,,XPUA,FRO,TTF,TN 181,5852.0,LOA,79.0,METER,7320.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Northern prawn,Pandalus borealis,FRO
20250826,NEAFC,Jupiter,,XPYT,FRO,MTS,VN 99,843.0,LOA,68.0,METER,8000.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Christian i Grotinum,,XPRE,FRO,MTS,KG 690,4985.0,LOA,89.0,METER,7320.0,KILOWATT,ACTIVE,2025-01-31,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Christian i Grotinum,,XPRE,FRO,MTS,KG 690,4985.0,LOA,89.0,METER,7320.0,KILOWATT,ACTIVE,2025-01-31,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Christian i Grotinum,,XPRE,FRO,MTS,KG 690,4985.0,LOA,89.0,METER,7320.0,KILOWATT,ACTIVE,2025-01-31,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Hoyvik,,XPSA,FRO,MTS,TN0090,2061.0,LOA,66.0,METER,3600.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Hoyvik,,XPSA,FRO,MTS,TN0090,2061.0,LOA,66.0,METER,3600.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Hoyvik,,XPSA,FRO,MTS,TN0090,2061.0,LOA,66.0,METER,3600.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Borgarin,,XPSE,FRO,MTS,KG0491,2921.0,LOA,78.0,METER,7680.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Borgarin,,XPSE,FRO,MTS,KG0491,2921.0,LOA,78.0,METER,7680.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Borgarin,,XPSE,FRO,MTS,KG0491,2921.0,LOA,78.0,METER,7680.0,KILOWATT,ACTIVE,2025-02-01,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Arctic Voyager,,XPUT,FRO,MTS,TG0965,2205.0,LOA,70.0,METER,7380.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Blue whiting,Micromesistius poutassou,FRO
20250826,NEAFC,Arctic Voyager,,XPUT,FRO,MTS,TG0965,2205.0,LOA,70.0,METER,7380.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
20250826,NEAFC,Arctic Voyager,,XPUT,FRO,MTS,TG0965,2205.0,LOA,70.0,METER,7380.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Atlantic mackerel,Scomber scombrus,FRO
20250826,NEAFC,Katrin Johanna,,XPWC,FRO,MTS,VA 410,1914.0,LOA,73.0,METER,3960.0,KILOWATT,ACTIVE,2025-02-02,2025-12-31,FRO,Individual,Atlantic herring,Clupea harengus,FRO
