source_date,original_source,vessel_name,imo,ircs,mmsi,national_registry,vessel_flag_alpha3,npfc_vessel_id,vessel_type_code,port_of_registry,fishing_method_code,external_marking,previous_name,previous_flag_alpha3,previous_registry,previous_port_registry,communication_details,freezer_type_enum,freezer_unit_enum,freezer_type_raw,freezer_unit_raw,crew_size,length_value,length_metric_type,length_unit_enum,depth_value,depth_metric_type,depth_unit_enum,beam_value,beam_metric_type,beam_unit_enum,tonnage_value,tonnage_metric_type,engine_power,engine_power_unit_enum,fish_hold_capacity,freezer_capacity
2025-08-26,NPFC,OCEAN PEARL,7910187,CFL5494,,20471,CAN,1995,WOX,,,,,,,,,,KW,,,,33.53,length_loa,METER,,,METER,9.75,moulded_beam,METER,374.9,gross_tonnage,,KW,,
2025-08-26,NPFC,CHANG TAI 801,8774891,BZ7VY,412354055,(ZHE)CHUAN DENG(JI)(2025)FT-200033,CHN,1536,LH,Zhoushan,LHP,,,,,,Satellite-based telephony17498503901,,KW,,,28.0,44.96,length_loa,METER,3.98,moulded_depth,METER,8.0,moulded_beam,METER,479.0,gross_tonnage,662.0,KW,324.0,
2025-08-26,NPFC,CHANG TAI 802,8775405,BZ8VY,412354056,(ZHE)CHUAN DENG(JI)(2025)FT-200032,CHN,1537,LH,Zhoushan,LHP,,,,,,Satellite-based telephony17498503986,,KW,,,28.0,44.96,length_loa,METER,3.98,moulded_depth,METER,8.0,moulded_beam,METER,479.0,gross_tonnage,662.0,KW,324.0,
2025-08-26,NPFC,CHANG TAI 806,8775417,BZ9VY,412354057,(ZHE)CHUAN DENG(JI)(2023)FT-200217,CHN,1538,LH,Zhoushan,LHP,,,,,,17497026817  telephone: 17498500948,,KW,,,28.0,44.96,length_loa,METER,3.98,moulded_depth,METER,8.0,moulded_beam,METER,479.0,gross_tonnage,662.0,KW,323.88,
2025-08-26,NPFC,CHANG TAI 809,8775431,BZU5N,412354168,(ZHE)CHUAN DENG(JI)(2025)FT-200034,CHN,1540,LH,Zhoushan,LHP,,,,,,17498503871,,KW,,,28.0,44.96,length_loa,METER,4.0,moulded_depth,METER,8.0,moulded_beam,METER,477.0,gross_tonnage,750.0,KW,379.0,
2025-08-26,NPFC,CHANG TAI 810,8775443,BZV1X,412354446,(ZHE)CHUAN DENG(JI)(2025)FT-200035,CHN,1541,LH,Zhoushan,LHP,,,,,,Satellite-based telephony17498503947,,KW,,,28.0,44.96,length_loa,METER,4.0,moulded_depth,METER,8.0,moulded_beam,METER,477.0,gross_tonnage,750.0,KW,379.0,
2025-08-26,NPFC,CHANG TAI 811,8775455,BZV2X,412354445,(ZHE)CHUAN DENG(JI)(2025)FT-200036,CHN,1546,LH,Zhoushan,LHP,,,,,,Satellite-based telephony17498503948,,KW,,,28.0,44.96,length_loa,METER,4.0,moulded_depth,METER,8.0,moulded_beam,METER,477.0,gross_tonnage,750.0,KW,379.0,
2025-08-26,NPFC,CHANG TAI 812,8775467,BZU6N,412354167,(ZHE)CHUAN DENG(JI)(2025)FT-200037,CHN,1547,LH,Zhoushan,LHP,,,,,,17498503940,,KW,,,28.0,44.96,length_loa,METER,4.0,moulded_depth,METER,8.0,moulded_beam,METER,477.0,gross_tonnage,750.0,KW,379.0,
2025-08-26,NPFC,DAPINGYUYUN99,9931202,BZV9J,412549338,(LIAO)CHUANDENG (JI) (2021) FT-200026,CHN,1826,FO,,,,,,,,Satellite-based telephony  00870776908835  Ｃ441204399,,KW,,,28.0,108.05,length_loa,METER,10.5,moulded_depth,METER,17.0,moulded_beam,METER,5185.0,gross_register_tonnage,2700.0,KW,7200.0,
2025-08-26,NPFC,DONG FANG 101,1069247,BPZH3,413610780,17DJ1013810,CHN,1984,FO,Zhoushan,,,,,,,F: 00 870 773 906 558  Satelite-based telephony: 0580 585 3286,,KW,,,28.0,146.2,length_loa,METER,11.7,,METER,20.2,moulded_beam,METER,9567.0,gross_register_tonnage,6080.0,KW,13288.61,
2025-08-26,NPFC,DONG FANG 102,1069259,BPZR8,413610790,17DJ1013857,CHN,1997,FO,Zhoushan,,,,,,,Satelite-based telephony  telephone: 05805859196,,KW,,,28.0,146.2,length_loa,METER,11.7,,METER,20.2,moulded_beam,METER,9567.0,gross_register_tonnage,6080.0,KW,13288.61,
2025-08-26,NPFC,DONG YU 1519,8775479,BZ8VK,412420597,(ZHE)CHUANDENG(JI)(2021)FT-200065,CHN,1195,"Stick-held dip netters (NS), Hand liner vessels (LH)",Zhoushan,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,C-441202642  Satellite-based telephony-17498502161  Other data service/devices  IPS: 300534061772370,,KW,,,33.0,59.83,length_loa,METER,6.2,,METER,9.8,moulded_beam,METER,950.0,gross_tonnage,1470.0,KW,615.42,
2025-08-26,NPFC,DONG YU 1528,9819909,BZW9B,412421022,(ZHE)CHUANDENG(JI)(2021)FT-200051,CHN,619,"Stick-held dip netters (NS), Hand liner vessels (LH)",Zhoushan,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,C: 441201016  Satellite-based Telephony: 17498503738  Other data service/devices  IPS:300234067377800,ICE,TONS / DAY,Ice,Tons / Day,46.0,72.65,length_loa,METER,7.3,,METER,11.6,moulded_beam,METER,1687.0,gross_tonnage,1710.0,KW,1430.41,100.0
2025-08-26,NPFC,DONG YU 1538,9881847,BZVA6,412549014,(ZHE)CHUANDENG(JI)(2024)FT-200009,CHN,1319,"Stick-held dip netters (NS), Hand liner vessels (LH)",Zhoushan,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,c-518139                     Satellite-based telephony-17497014580  Other data service/devices518139,,KW,,,44.0,72.65,length_loa,METER,7.3,,METER,11.6,moulded_beam,METER,1699.0,gross_tonnage,1710.0,KW,1476.55,
2025-08-26,NPFC,FENG CHENG 103,8780228,BZ8UG,412420213,(ZHE)CHUAN DENG(JI)(2021)FT-200121,CHN,1499,LH,Zhoushan,LHP,,,,,,Satellite-based telephony -17498500436,,KW,,,32.0,43.0,length_loa,METER,3.9,,METER,8.3,moulded_beam,METER,498.0,gross_register_tonnage,692.0,KW,354.38,
2025-08-26,NPFC,FENG HUI 9,9871945,BZUP2,412421169,(ZHE)CHUANDENG(JI)(2022)FT-200010,CHN,1242,LH,Zhoushan,LHP,,,,,,Satelite-based telephony- 00870-773254867,,KW,,,28.0,65.4,length_loa,METER,6.95,moulded_depth,METER,10.8,moulded_beam,METER,1324.0,gross_register_tonnage,1750.0,KW,1170.25,
2025-08-26,NPFC,FU YUAN  YU YUN 995,9887152,BZUV9,412440687,(MIN)CHUANDENG(JI)(2024FT-200058,CHN,1386,FO,Fuzhou,,,,,,,Satellite-based telephony-00870-7731176583,,KW,,,25.0,108.0,length_loa,METER,10.5,,METER,17.0,moulded_beam,METER,5005.0,gross_register_tonnage,3000.0,KW,7151.0,
2025-08-26,NPFC,Fu Yuan Yu 079,8551627,BZU7V,412440423,(MIN)CHUANDENG(JI)(2021)FT-200035,CHN,485,SP,Fuzhou,PS,,,,,,C: 412440423    Satellite-based Telephony: 17498504356,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1012.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,Fu Yuan Yu 080,8551732,BZUN6,412440477,(MIN)CHUANDENG(JI)(2024)FT-200037,CHN,486,SP,Fuzhou,PS,,,,,,C: 412440477    Satellite-based Telephony:17498504352,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1012.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,Fu Yuan Yu 081,8551744,BZUN7,412440478,(MIN)CHUANDENG(JI)(2024)FT-200036,CHN,487,SP,Fuzhou,PS,,,,,,C: 412440478    Satellite-based Telephony: 17498504350,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1010.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,Fu Yuan Yu 082,8551756,BZUN8,412440479,(MIN)CHUANDENG(JI)(2024)FT-200035,CHN,488,SP,Fuzhou,PS,,,,,,C: 412440479    Satellite-based Telephony:17498504343,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1012.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,Fu Yuan Yu 083,8551768,BZU8V,412440424,(MIN)CHUANDENG(JI)(2021)FT-200036,CHN,489,SP,Fuzhou,PS,,,,,,C: 412440424    Satellite-based Telephony:17498504341,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1012.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,Fu Yuan Yu 085,8551770,BZUN9,412440481,(MIN)CHUANDENG(JI)(2025)FT-200004,CHN,490,SP,Fuzhou,PS,,,,,,C: 412440481    Satellite-based Telephony: 17498504335,ICE,TONS / DAY,Ice,Tons / Day,25.0,54.64,length_loa,METER,4.75,moulded_depth,METER,10.5,moulded_beam,METER,1012.0,gross_register_tonnage,2100.0,KW,1292.32,25.0
2025-08-26,NPFC,FU YUAN YU 196,9861108,BZU7S,412440654,(MIN)CHUANDENG(JI)(2023)FT-200050,CHN,1188,"Stick-held dip netters (NS), Hand liner vessels (LH)",Fuzhou,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,C-441202761  Satellite-based telephony-0086-17498503146,,KW,,,58.0,69.9,length_rgl,METER,7.4,,METER,11.3,moulded_beam,METER,1413.0,gross_register_tonnage,2100.0,KW,1420.0,
2025-08-26,NPFC,FU YUAN YU 197,9861134,BZU8S,412440655,(MIN)CHUANDENG(JI)(2023)FT-200049,CHN,1187,"Stick-held dip netters (NS), Hand liner vessels (LH)",Fuzhou,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,c-441202762  Satellite-based telephony0086-17498503147,,KW,,,58.0,69.9,length_rgl,METER,7.4,,METER,11.3,moulded_beam,METER,1413.0,gross_register_tonnage,2100.0,KW,1420.0,
2025-08-26,NPFC,FU YUAN YU 198,8776277,BZU1M,412440384,(MIN)CHUANDENG(JI)(2023)FT-200048,CHN,584,"Stick-held dip netters (NS), Hand liner vessels (LH)",Fuzhou,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,C:441202721  Satellite-based Telephony: 0086-17498504002,AIR_BLAST,TONS / DAY,Air Blast,Tons / Day,58.0,69.9,length_loa,METER,7.4,moulded_depth,METER,11.3,moulded_beam,METER,1408.0,gross_register_tonnage,2100.0,KW,1420.0,100.0
2025-08-26,NPFC,FU YUAN YU 199,8776801,BVTG7,412440513,(MIN)CHUANDENG(JI)(2023)FT-200047,CHN,585,"Stick-held dip netters (NS), Hand liner vessels (LH)",Fuzhou,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)",,,,,,C: 441201958  Satellite-based Telephony: 0086-17497050479,ICE,TONS / DAY,Ice,Tons / Day,58.0,69.9,length_loa,METER,7.4,moulded_depth,METER,11.3,moulded_beam,METER,1408.0,gross_register_tonnage,2100.0,KW,1420.0,100.0
2025-08-26,NPFC,Fu Yuan Yu 601,8557504,BZU9E,412440243,(MIN)CHUAN DENG(JI)(2023)FT-200025,CHN,460,SP,Fuzhou,PS,,,,,,C: 412440243  Satellite-based Telephony: +86-17498501957,ICE,CUBIC_METER,Ice,Cubic Metres,21.0,52.07,length_loa,METER,4.62,moulded_depth,METER,9.8,moulded_beam,METER,857.0,gross_tonnage,1104.0,KW,1066.72,370.67
2025-08-26,NPFC,Fu Yuan Yu 602,8557516,BZU1F,412440244,(MIN)CHUANDENG(JI)(2023)FT-200026,CHN,461,SP,Fuzhou,PS,,,,,,C: 412440244  Satellite-based Telephony: +86-17498501956,ICE,CUBIC_METER,Ice,Cubic Metres,21.0,52.07,length_loa,METER,4.62,moulded_depth,METER,9.8,moulded_beam,METER,857.0,gross_tonnage,1104.0,KW,1066.72,370.67
2025-08-26,NPFC,Fu Yuan Yu 603,8557528,BZU2F,412440245,(MIN)CHUANDENG(JI)(2023)FT-200027,CHN,462,SP,Fuzhou,PS,,,,,,C: 412440245  Satellite-based Telephony: +86-17498501330,ICE,CUBIC_METER,Ice,Cubic Metres,20.0,52.07,length_loa,METER,4.62,moulded_depth,METER,9.8,moulded_beam,METER,857.0,gross_tonnage,1104.0,KW,1066.72,370.67
2025-08-26,NPFC,Fu Yuan Yu 605,8557530,BZU3F,412440246,(MIN)CHUANDENG(JI)(2023)FT-200028,CHN,463,SP,Fuzhou,PS,,,,,,C: 412440246  Satellite-based Telephony: +86-17498501958,ICE,CUBIC_METER,Ice,Cubic Metres,22.0,52.07,length_loa,METER,4.62,moulded_depth,METER,9.8,moulded_beam,METER,857.0,gross_tonnage,1104.0,KW,1066.72,370.67
