source_date,original_source,vessel_name,imo,ircs,mmsi,national_registry,vessel_flag_alpha3,sprfmo_vessel_id,vessel_type,gear_type_fao,length_metric_type,length_value,length_unit,gross_tonnage_value,gross_tonnage_unit,gross_register_tonnage_value,gross_register_tonnage_unit,moulded_depth_value,moulded_depth_unit,beam_value,beam_unit,engine_power_value,engine_power_unit,fish_hold_volume_value,fish_hold_volume_unit,build_year,build_location,build_country_id,authorization_status,auth_start_date,auth_end_date,flag_registered_date,authorizing_country_id,participant_group,previous_names,previous_flag,port_registry
2025-08-26,SPRFMO,FREY,8907008.0,YJRN7,,1249,VUT,,TT,03.29,length_loa,105.0,METER,,,7805.0,,9.2,METER,20.0,METER,5888.0,KW,5500.0,CUBIC_METER,,"Naval Gijon, Gijon, Spain",,UNAUTHORIZED,2011-01-01,2011-12-31,,VUT,,Pegasus; Stimul,RUS,Port Vila
2025-08-26,SPRFMO,FRIGG,8907113.0,YJRB2,,1123,VUT,,TT,03.29,length_loa,105.0,METER,,,7805.0,,9.2,METER,20.0,METER,5888.0,KW,3000.0,CUBIC_METER,,"Factorius Vulcano, Vigo, Spain",,UNAUTHORIZED,2016-02-17,2016-12-31,2016-01-01,VUT,,Aphrodite; Vigo,RUS,Port Vila
2025-08-26,SPRFMO,ODIN,8907084.0,YJRB3,,1124,VUT,,TT,03.29,length_loa,105.0,METER,,,7805.0,,9.2,METER,20.0,METER,5888.0,KW,3000.0,CUBIC_METER,,"Factorius Vulcano, Vigo, Spain",,UNAUTHORIZED,2016-02-17,2016-12-31,2016-01-01,VUT,,Hermes; Solidarnost,RUS,Port Vila
2025-08-26,SPRFMO,THOR,8907058.0,YJRN6,,1248,VUT,,TT,03.29,length_loa,105.0,METER,,,7805.0,,9.2,METER,20.0,METER,5888.0,KW,5500.0,CUBIC_METER,,"Naval Gijon, Gijon, Spain",,UNAUTHORIZED,2012-01-01,2012-12-31,,VUT,,Icarus; Boris Trofimenko,RUS,Port Vila
2025-08-26,SPRFMO,AGUILA REAL,7931260.0,CB2849,,2364,CHL,,SP,02.9,length_loa,34.21,METER,249.75,,,,4.09,METER,8.08,METER,633.76,KW,370.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-08-08,2022-12-01,2007-08-08,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ALCANTARA,6804343.0,CB3834,,2878,CHL,,SP,02.9,length_loa,43.73,METER,596.0,,,,4.95,METER,8.5,METER,1192.96,KW,692.5,CUBIC_METER,,NOR,NOR,AUTHORIZED,2007-05-02,2999-12-31,2007-05-02,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ALEJANDRIA I,,CB2293,,2323,CHL,,SP,02.9,length_loa,34.27,METER,238.0,,,,3.8,METER,7.93,METER,1192.96,KW,397.5,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-08-21,2011-12-31,,CHL,,,PER,Valparaíso
2025-08-26,SPRFMO,ALERCE,7112254.0,CB2121,,2261,CHL,,SP,02.9,length_loa,33.5,METER,,,243.61,,3.46,METER,8.03,METER,671.04,KW,372.9,CUBIC_METER,,PER,PER,AUTHORIZED,2007-07-31,2999-12-31,2007-07-31,CHL,,Lima 1,PER,Valparaíso
2025-08-26,SPRFMO,ALLIPEN I,,CB4493,,2685,CHL,,SP,02.9,length_loa,47.3,METER,786.0,,,,6.0,METER,10.4,METER,1622.43,KW,138.25,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-20,2011-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,AMERICA 2,,CB3285,,1718,CHL,,SP,02.9,length_loa,21.95,METER,,,81.92,,2.59,METER,6.63,METER,465.25,KW,138.25,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-31,2011-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANGAMOS 1,,CB3290,,2484,CHL,,SP,02.9,length_loa,29.94,METER,267.04,,,,3.96,METER,8.94,METER,,KW,400.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-07-20,2016-10-10,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANGAMOS 2,,CB3291,,2486,CHL,,SP,02.9,length_loa,29.94,METER,267.04,,,,3.96,METER,8.94,METER,838.8,KW,400.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-07-20,2016-10-10,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANGAMOS 3,8699376.0,CB3010,,2739,CHL,,SP,02.9,length_loa,33.0,METER,315.46,,,,3.55,METER,9.75,METER,838.8,KW,440.42,CUBIC_METER,,USA,USA,AUTHORIZED,2018-01-20,2999-12-31,2018-01-03,CHL,,Libra,,Valparaíso
2025-08-26,SPRFMO,ANGAMOS 4,8965749.0,CB3696,,2633,CHL,,SP,02.9,length_loa,29.9,METER,265.0,,,,3.97,METER,8.92,METER,838.8,KW,405.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-20,2022-12-01,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANGAMOS 9,8965775.0,CB4591,,2716,CHL,,SP,02.9,length_loa,29.92,METER,290.0,,,,3.96,METER,8.94,METER,1051.3,KW,390.78,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-07-20,2024-11-18,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANTARCTIC,,CB4552,,2709,CHL,,SP,02.9,length_loa,48.77,METER,786.0,,,,4.85,METER,9.5,METER,1794.66,KW,1184.11,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2012-01-01,2012-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ANTARCTIC BAY,9092240.0,CB9738,,3165,CHL,,LL,09.39,length_loa,51.0,METER,985.0,,,,4.35,METER,9.5,METER,1043.84,KW,889.3,CUBIC_METER,,CHN,CHN,UNAUTHORIZED,2007-06-11,2022-12-17,2007-06-11,CHL,,Polarpesca I,,Valparaíso
2025-08-26,SPRFMO,ARAUCO I,5229936.0,CB4071,,2621,CHL,,SP,02.9,length_loa,54.19,METER,802.87,,,,4.74,METER,9.5,METER,1304.8,KW,1201.92,CUBIC_METER,,DEU,DEU,UNAUTHORIZED,2013-01-01,2022-12-23,2007-05-02,CHL,,,,Valparaíso
2025-08-26,SPRFMO,AREQUIPA IV,7129295.0,CB2307,,2321,CHL,,SP,02.9,length_loa,36.6,METER,,,268.76,,3.87,METER,7.9,METER,633.76,KW,350.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2013-01-01,2022-12-23,2007-05-23,CHL,,Arequipa 4,,Valparaíso
2025-08-26,SPRFMO,AREQUIPA VII,7031802.0,CB2308,,2322,CHL,,SP,02.9,length_loa,33.02,METER,266.26,,,,3.84,METER,7.92,METER,633.76,KW,350.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-05-07,2022-12-23,2007-05-07,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ATACAMA II,,CB2218,,2286,CHL,,SP,02.9,length_loa,32.77,METER,248.0,,,,4.19,METER,8.08,METER,671.04,KW,382.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-07-28,2007-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ATACAMA III,,CB2219,,2287,CHL,,SP,02.9,length_loa,32.77,METER,248.0,,,,4.19,METER,8.08,METER,671.04,KW,343.0,CUBIC_METER,,PER,PER,UNAUTHORIZED,2007-07-28,2007-12-31,,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ATACAMA IV,9007697.0,CB3991,,2607,CHL,,SP,02.9,length_loa,34.17,METER,368.0,,,,4.5,METER,10.6,METER,1051.3,KW,435.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-28,2999-12-31,2007-07-28,CHL,,,,Valparaíso
2025-08-26,SPRFMO,ATACAMA V,9073634.0,CB5352,,2821,CHL,,SP,02.9,length_loa,39.4,METER,440.0,,,,4.75,METER,9.5,METER,1267.52,KW,502.3,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-09-26,2999-12-31,2007-09-26,CHL,,,,Valparaíso
2025-08-26,SPRFMO,AUDAZ,8700747.0,CB2515,,2526,CHL,,SP,02.9,length_loa,39.51,METER,512.0,,,,5.1,METER,10.1,METER,838.8,KW,550.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,AVENTURERO,8611403.0,CB3232,,2470,CHL,,SP,02.9,length_loa,39.51,METER,512.0,,,,5.1,METER,10.1,METER,838.8,KW,580.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BALDER,,CB3835,,2619,CHL,,SP,02.9,length_loa,48.1,METER,702.52,,,,6.58,METER,8.7,METER,1148.22,KW,848.0,CUBIC_METER,,NOR,NOR,UNAUTHORIZED,2007-07-20,2007-12-31,,CHL,,,NOR,Valparaíso
2025-08-26,SPRFMO,BARRACUDA IV,8803317.0,CB4034,,2594,CHL,,SP,02.9,length_loa,39.51,METER,500.15,,,,5.1,METER,10.1,METER,1051.3,KW,490.0,CUBIC_METER,,CHL,CHL,AUTHORIZED,2007-07-20,2999-12-31,2007-07-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BETANZOS,7310923.0,CBTZ,,2351,CHL,,TT,03.19,length_loa,64.56,METER,1438.07,,,,7.35,METER,12.5,METER,1491.2,KW,1261.0,CUBIC_METER,,ESP,ESP,UNAUTHORIZED,2007-04-20,2022-12-17,2007-04-20,CHL,,,,Valparaíso
2025-08-26,SPRFMO,BIO BIO,8966028.0,CB3498,,2196,CHL,,SP,02.9,length_loa,23.6,METER,,,208.96,,4.27,METER,7.96,METER,633.76,KW,300.0,CUBIC_METER,,CHL,CHL,UNAUTHORIZED,2007-08-08,2022-11-21,2007-08-08,CHL,,Con con,,Valparaíso
