"CCSBT Registration Number","Vessel Group","Vessel Name","Previous Vessel Name",Flag,"Authorising Entity",Callsign,"Vessel Registration Number",IMO,Tonnage,"Vessel Type","Gear Type",Length,"Length Type","Owner Name","Owner Address","Owner Country","Operator Name","Operator Address","Operator Country","Onboard Freezing Capacity","Authorisation Start Date","Authorisation End Date"
CV4748,Carrier,"TAISEI MARU NO.24",,Japan,"Fishing Entity of Taiwan",JILE,134374,9086758,4992.00,"Transhipment/carrier vessels",,117,LOA,"TAISEIMARU KAIUN KAISHA, LTD","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0074, JAPAN",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"22 Aug 2025","21 Aug 2026"
CV7720,Carrier,"TAISEI MARU NO.15","TAISEI MARU NO.15",Japan,"Fishing Entity of Taiwan",7JTK,142312,8710728,4993.00,"Transhipment/carrier vessels",,124,LOA,"TAISEIMARU KAIUN KAISHA, LTD","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0074, JAPAN",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR SHIBAKOEN BLDG., 3-5-5 SHIBA, MINATO-KU, TOKYO, 105-0014",Japan,,"22 Aug 2025","21 Aug 2026"
CV7737,Carrier,IBUKI,,Panama,"Fishing Entity of Taiwan",3ELC8,46403-14-C,9666481,6558.00,"Transhipment/carrier vessels",,127.81,LOA,"STAR NAVIGATION S.A.","MMG TOWER 16th FLOOR, 53rd E STREET,URBANIZACION, MARBELLA, PANAMA, REPUBLIC OF PANAMA",Panama,"MRS CORPORATION","SHINBASHI YOSHIIKI BLDG. 3RD FLOOR, 4-27-4 SHINBASHI, MINATO-KU, TOKYO",Japan,,"13 Aug 2025","03 Dec 2026"
CV7719,Carrier,"TAISEI MARU NO.24",,Japan,Japan,JILE,134374,9086758,4922.00,"Transhipment/carrier vessels",,124.25,LOA,"TAISEIMARU KAIUN KAISHA, LTD","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0074",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"22 Aug 2025","21 Aug 2026"
CV4749,Carrier,"TAISEI MARU NO.15","TAISEI MARU NO.15",Japan,Japan,7JTK,142312,8710728,4969.00,"Transhipment/carrier vessels",,124.25,LOA,"TAISEIMARU KAIUN KAISHA, LTD","5-5, HONMACHI ISE-SHI, MIE-KEN, 516-0074",Japan,"TOEI REEFER LINE LTD.","8TH FLOOR NMF SHIBAKOEN BLDG, 3-5-5 SHIBA, MINATO-KU TOKYO",Japan,,"22 Aug 2025","21 Aug 2026"
FV6271,Fishing,"NO.805 ORYONG","SHINCHO MARU NO.1","Republic of Korea",Korea,6KAI,1507002-6261408,9178587,432.00,Longline,LL,49.01,LOA,"SAJO INDUSTRIES CO., LTD","107-39 TONGIL-RO, SEODAEMUN-GU, SEOUL","Republic of Korea","SAJO INDUSTRIES CO., LTD","107-39 TONGIL-RO, SEODAEMUN-GU, SEOUL","Republic of Korea",Yes,"01 Aug 2025","31 Jul 2030"
FV4262,Fishing,"ADMIRAAL DE RUITER",,"South Africa","South Africa",ZR4824,10419,7325332,250.55,Longline,LL,29.24,REG,"ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa","ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV1493,Fishing,"SEAWIN EMERALD",,"South Africa","South Africa",ZR7997,10733,9305441,151.00,Longline,LL,24.4,REG,"ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa","ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV4612,Fishing,"SEAWIN DIAMOND",,"South Africa","South Africa",ZR8025,10718,9305427,151.00,Longline,LL,21.5,LOA,"ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa","ADR FISHING (PTY) LTD","3 MANHATTAN ROAD, AIRPORT INDUSTRIA, CAPE TOWN","South Africa",Yes,"01 Mar 2025","28 Feb 2026"
FV1427,Fishing,KINGFISHER,,Australia,Australia,VZN7927,LFB4295,8564650,16.00,Longline,LL,15.9,LOA,"JERRAMIE M HAWKINS","62B HAYWARD ROAD, WANDANDIAN NSW 2540",Australia,"JERRAMIE M HAWKINS","62B HAYWARD ROAD, WANDANDIAN NSW 2540",Australia,No,"25 May 2025","30 Nov 2025"
