Name,"Built in Country","Built in Year","IMO Number","WCPFC ID","FFA ID","International Radio Call Sign (IRCS)",MMSI,"Registration Number",Flag,Type,"Registration Start","Registration Period","Current Status","Application Type",Registrant,"Registrant Acting As","Reason for Deregistration","Registration Number","Port of Registry","Vessel Tonnage (GRT)","Hull Material","Vessel Length (LOA)","Vessel Length (PP)","Vessel Length (RL)","Rated Speed","Normal Crew Complement","Engine Model","Total Fuel Carrying Capacity","Total Power of Main Engine or Engines","Power Unit","Fish Hold Capacity","Fish Hold Capacity Unit","Freezer Types","Refrigerant Used Type","Refrigerant Used Capacity","Previous Names","Last Radio Call Sign (IRCS)","Last Flag State Registration Number","Previous Flag","Owner Company Name","Owner Mailing Address","Operator Name","Operator Mailing Address","Vessel Master Name","Vessel Master Nationality","Fishing Master Name","Fishing Master Nationality","Recent side-view vessel photo","Recent plan-view vessel photo"
"SEIN 11",Indonesia,2007,8664369,9949,36123,3DN6876,520442000,007704,Fiji,Longline,12-Aug-2025,11-Aug-2026,Approved,"Good Standing Domestic","Ace Tuna Fishery Co.,Ltd","Charterer / Operator",,007704,"SUVA MUA-I-WALU WHARF",86.00,Steel,"23.80 Metres",,,"12.00 Knots",12,YANMAR,"45.00 Kilolitres",410.00,KW,50.00,"Metric Tonnes",Brine,R22,"160.00 Kg","HE SHIUN 1",YJVZ9,1953,Vanuatu,"SEIN FISHING INVESTMENT PTE LTD","P.O BOX 18059
SUVA","ACE TUNA FISHERY COMPANY PTE LTD","P.O.BOX 18059
SUVA
FIJI",PUJIYANTO,Indonesia,PUJIYANTO,Indonesia,,https://vessel-register.ffa.int/sites/default/files/vsr_files/viber_image_2024-07-16_10-35-19-068_0.jpg
"SCORPION 68",Japan,1986,,,35202,3DZU,520289000,000737,Fiji,Longline,15-Apr-2025,14-Apr-2026,Approved,"Good Standing Domestic","Vaerua Fishing Co., Ltd",Owner,,000737,"SUVA MUA-I-WALU WHARF",19.00,Fibreglass,"20.52 Metres","3.83 Metres",,"9.00 Knots",9,"Yanmar Diesel","10.00 Kilolitres",336.00,KW,14.00,"Metric Tonnes","Refrigerated Sea Water",Glycol,,,,,,"Vaerua Fisghing Pte Limited","P. O Box 300,
Suva","Vaerua Fishing Pte Limited","P. O Box 300,
SUVA
Fiji","Kelevi Ratuvere",Fiji,,,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Scorpion%2068%20planview%20picture.JPG
"SEIN 1",Australia,1999,8524583,,37088,3DOU,520085000,001175,Fiji,Longline,27-Mar-2025,26-Mar-2026,Approved,"Good Standing Domestic","Ace Tuna Fishery Co.,Ltd","Charterer / Operator",,001175,"SUVA PRINCESS WHARF",103.88,Steel,"21.35 Metres",,,"10.00 Knots",10,"Cummins Inline Engine","12.00 Kilolitres",317.00,KW,15.00,"Metric Tonnes","Ice, Refrigerated Sea Water","R600a (Isobutane)","270.00 Kg","Sea Beluga",3DOU,001175,Fiji,"Sein Fishing Investment PTE LTD","P O Box 18059
SUVA
Fiji","ACE TUNA FISHERY CO.,LTD","P O BOX 18059
SUVA
FIJI","Jihua Zhang",China,"Jihua Zhang",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Planview%20Sein%201.jpg
"SEIN 3",Australia,1999,8524595,,37124,3DOW,520086000,001176,Fiji,Longline,27-Mar-2025,26-Mar-2026,Approved,"Good Standing Domestic","Ace Tuna Fishery Co.,Ltd",Owner,,001176,"SUVA PRINCESS WHARF",103.82,Steel,"21.35 Metres",,,"10.00 Knots",10,"Cummins Inline Engine","12.00 Kilolitres",317.00,KW,15.00,"Metric Tonnes","Ice, Refrigerated Sea Water","R600a (Isobutane)","270.00 Kg",,,,,"Sein Fishing Investment PTE LTD","P O Box 18059
SUVA
Fiji","ACE TUNA FISHERY CO.,LTD","P O BOX 18059
SUVA
FIJI","Puji Yanto",China,"Puji Yanto",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/viber_image_2024-02-20_11-57-26-034_0.jpg
"SCORPION 58",Japan,1987,,12231,37128,3DN6874,520440000,007321,Fiji,Longline,26-Feb-2025,25-Feb-2026,Approved,"Good Standing Domestic","Vaerua Fishing Co., Ltd","Authorised Agent",,007321,"SUVA PRINCESS WHARF",19.00,Fibreglass,"17.13 Metres",,,"10.00 Knots",9,YANMAR,"10500.00 Kilolitres",478.00,KW,10.00,"Metric Tonnes","Refrigerated Sea Water",R22,"10.00 Kg",,,,,"White Pearl Traders PTE Ltd","G.P.O Box 300
SUVA
Fiji","White Pearl Traders PTE Ltd","G.P.O Box 300
SUVA
Fiji","Saeni Juned",Fiji,"Saeni Juned",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/Scorpion%2058%20Planview.jpg
"HANGTON 115",China,2017,9850408,11672,36810,3DOG,520315000,003800,Fiji,Longline,24-Feb-2025,23-Feb-2026,Approved,"Good Standing Domestic","Hangton Pacific Company PTE Ltd",Owner,,003800,"SUVA PRINCESS WHARF",154.00,Steel,"34.00 Metres",,"34.00 Metres","10.70 Knots",12,61902LC2,"43.00 Kilolitres",330.00,HP,46.00,"Metric Tonnes",Ice,"R404A, FREON GAS","800.00 Kg",,,,,"Hangton Pacific Company PTE Ltd","P.O BOX 2318
GOVERNMENT BLDGS 
SUVA","Hangton Pacific Company PTE Ltd","P.O BOX 2318
GOVERNMENT BLDGS 
SUVA","LEE JO UG",China,"LEE JO UG",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/IMG_20171207_081654.jpg
"HANGTON 116",China,2017,9850410,11667,36811,3DOF,520314000,003801,Fiji,Longline,24-Feb-2025,23-Feb-2026,Approved,"Good Standing Domestic","Hangton Pacific Company PTE Ltd",Owner,,003801,"SUVA PRINCESS WHARF",154.00,Steel,"34.00 Metres",,"34.00 Metres","10.70 Knots",12,61902LC2,"43.00 Kilolitres",330.00,HP,46.00,"Metric Tonnes",Ice,"R404A, FREON","800.00 Kg",,,,,"Hangton Pacific Company PTE Ltd","P.O BOX 2318
GOVERNMENT BLDGS 
SUVA","Hangton Pacific Company PTE Ltd","P.O BOX 2318
GOVERNMENT BLDGS 
SUVA","Wang Enmao",China,"Wang Enmao",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/IMG_20171207_081544.jpg
"HANGTON 112",China,2017,9850393,11666,36809,3DOE,520313000,003799,Fiji,Longline,24-Feb-2025,23-Feb-2026,Approved,"Good Standing Domestic","Hangton Pacific Company PTE Ltd",Owner,,003799,"SUVA PRINCESS WHARF",154.00,Steel,"34.00 Metres",,"34.00 Metres","10.70 Knots",12,DIESEL,"43.00 Kilolitres",330.00,KW,46.00,"Metric Tonnes","Air Coils","R404A, FREON","800.00 Kg",,,,,"Hangton Pacific Company PTE Ltd","P.Box 2318
Government Building
Suva, Fiji","Hangton Pacific Company PTE Ltd","P.Box 2318
Government Building
Suva, Fiji","Ma Juncheng",Fiji,"Ma Juncheng",China,,https://vessel-register.ffa.int/sites/default/files/vsr_files/IMG_20171215_140204.jpg
"HANGTON 111",China,2017,9850381,11665,36808,3DOD,520312000,003798,Fiji,Longline,23-Feb-2025,22-Feb-2026,Approved,"Good Standing Domestic","Hangton Pacific Company PTE Ltd",Owner,,003798,"SUVA PRINCESS WHARF",154.00,Steel,"34.00 Metres",,"34.00 Metres","10.70 Knots",12,DIESEL,"43.00 Kilolitres",330.00,HP,46.00,"Metric Tonnes",Ice,"R404A, FREON GAS","800.00 Kg",,,,,"Hangton Pacific Company PTE Ltd","P.Box 2318
Government Building 
Suva, Fiji","Hangton Pacific Company PTE Ltd","P O Box 2318
Government Building 
Suva, Fiji","Wan Zhu",Fiji,"Wan Zhu",Fiji,,https://vessel-register.ffa.int/sites/default/files/vsr_files/IMG_20171204_104517.jpg
"YONG XING 2",China,2002,8749987,5165,35082,3DYC,520077000,000392,Fiji,Longline,17-Feb-2025,16-Feb-2026,Approved,"Good Standing Domestic","Yong Xing Fisheries Fiji Ltd",Owner,,000392,"SUVA PRINCESS WHARF",136.00,Steel,"30.45 Metres",,"30.45 Metres","8.00 Knots",13,DIESEL,"45.00 Kilolitres",220.00,KW,55.00,"Metric Tonnes","Refrigerated Sea Water",F22,"200.00 Kg",,,,,"YONG XING FISHERIES (FIJI) PTE LTD","P O Box 2036
Government Buildings
 Suva
Fiji","JULS FIJI PTE LIMITED","P O Box 2036
Government Buildings
 Suva
Fiji","Cha Pyeong yeol","Korea, Democratic People's Republic of","Cha Pyeong yeol","Korea, Democratic People's Republic of",,https://vessel-register.ffa.int/sites/default/files/vsr_files/YX2%20Plan%20view_0.jpg
