IATTC Vessel number,Register Status,Vessel,Flag,Gear,Fish hold volume (m3),Confirmation date,Carrying capacity (t),Port of registration,Registration number,IMO number,Call sign,Length (m),Length type,Beam (m),Depth (m),Gross tonnage (t),Engine power (HP),Year built,Shipyard,Company name,Business Address,Previous name,Previous flag,Notes,Image available?,Last modification
18597,,Adventurer,Canada,Troll,,,,Vancouver,23199,,,13.1,Length Overall,4.65,1.68,16,340,1979,ICL Engineering,1321257 B.C. Ltd.,"2219 E 38th Avenue, Vancouver B.C. V5P 1H2, Canada",,,   ,Yes,29 Aug 2022
14727,,Ahab,Canada,Troll,20,,5,Nanaimo,23108,,,12.8,Length Overall,3.44,1.49,11,110,1977,,,"P.O. Box 22, 4733 Vancouver Avenue, Queen Charlotte City, BC V0T 1S0, Canada",,,   ,Yes,15 Jul 2013
15611,,Alice Elida,Canada,Troll,10,,29,Comox,30015,8560032,,12.19,Type of Length Unknown,4.7,2.2,14,160,1991,,"Alice Elida Fishing, Ltd.","1539 Highridge Drive, Comox, BC V9M 3R4, Canada",,,   ,Yes,01 Dec 2020
18602,,Allouette Lady,Canada,Troll,4,,,Vancouver,313389,,,12,Length Overall,4,2,22,300,1982,Albion Boats,,"308-1460 Pemberton Avenue, Squamish, BC V8B 0J9, Canada",,,   ,Yes,26 Sep 2022
17861,,Alpine Star,Canada,Troll,8,,,,29105,,,11.33,Length Overall,3.66,2,15,175,1988,,Pacific Standard Seafoods,"3750 Turnbull Road, Courtenay, V9N 9R5 British Colombia, Canada",,,   ,Yes,17 Jul 2019
14728,,Ambitious,Canada,Troll,15,,13,Victoria,23461,,CY8789,15.24,Length Overall,5.25,2.5,20,300,1978,,,"4085 Beam Cr, Victoria, BC V8N 5Y7, Canada",,,   ,Yes,15 Jul 2013
143,,Amy Usen,Canada,Troll,497,,62,Vancouver,30736,6617075,VG6732,28.37,Length Overall,6.48,3.94,91,425,1966,,R Michaels Incorporated,"P.O. Box 8042, Victoria, BC V8W 3R7, Canada",,,   ,Yes,06 Jan 2020
15291,,Arne A,Canada,Troll,,,10,Prince Rupert,22943,,CY5201,13.11,Type of Length Unknown,3.54,1.59,10,107,1948,,,"521 Herman Street, Prince Rupert, BC V8J 3A6, Canada",,,   ,Yes,15 Jul 2013
14734,,Bank Robber,Canada,Troll,76,,12,Victoria,24961,,CFC9669,14.94,Length Overall,4.02,2.01,20,180,1976,,,"2848 8th Avenue, Port Alberni, BC V9Y 2K7, Canada",,,   ,Yes,15 Jul 2013
18596,,Bare Island,Canada,Troll,7,,,Nanaimo,24344,,,11.16,Length Overall,3.96,1.43,15,121,1964,Cape Lazo Boat Yards,,"1152 Lugrin Place, Victoria, BC V9A 4T3, Canada",,,   ,Yes,22 Aug 2022
