SENDER,FLAG,IRCS,NAME,IMO_NUMBER,EXT_MARK,TYPE,TONNAGE,LENGTH,POWER,AUTHORISED,SPECIES,STARTS,ENDS
FRO,FRO,OW2418,Streymsund,9099212,TN0353,LL,"LC 109","OA 32","KW 350",Yes,XDS,27-MAY-25,31-DEC-25
FRO,FRO,XPSI,Anru,,KG0730,LL,"LC 89","OA 19","KW 336",Yes,XDS,26-MAY-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,HER,19-MAR-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,MAC,19-MAR-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,PRA,19-MAR-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,COD,19-MAR-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,REB,19-MAR-25,31-DEC-25
FRO,FRO,XPTI,Hvitanes,8604814,"TN 1230",TTF,"LC 2045","OA 60","KW 4080",Yes,WHB,19-MAR-25,31-DEC-25
FRO,FRO,XPZF,Eysturbugvin,9214484,SA0450,MTS,"LC 259","OA 44","KW 1596",Yes,MAC,06-FEB-25,31-DEC-25
FRO,FRO,XPZF,Eysturbugvin,9214484,SA0450,MTS,"LC 259","OA 44","KW 1596",Yes,HER,06-FEB-25,31-DEC-25
FRO,FRO,XPZF,Eysturbugvin,9214484,SA0450,MTS,"LC 259","OA 44","KW 1596",Yes,WHB,06-FEB-25,31-DEC-25
FRO,FRO,XPUA,Emerald,9913614,"TN 181",TTF,"LC 5852","OA 79","KW 7320",Yes,REB,02-FEB-25,31-DEC-25
FRO,FRO,XPUA,Emerald,9913614,"TN 181",TTF,"LC 5852","OA 79","KW 7320",Yes,XDS,02-FEB-25,31-DEC-25
FRO,FRO,XPYT,Jupiter,9273777,"VN 99",MTS,"LC 843","OA 68","KW 8000",Yes,MAC,02-FEB-25,31-DEC-25
FRO,FRO,XPYT,Jupiter,9273777,"VN 99",MTS,"LC 843","OA 68","KW 8000",Yes,HER,02-FEB-25,31-DEC-25
FRO,FRO,XPRK,Sandshavid,8714293,SA0499,LL,"LC 273","OA 42","KW 735",Yes,XDS,02-FEB-25,31-DEC-25
FRO,FRO,XPUA,Emerald,9913614,"TN 181",TTF,"LC 5852","OA 79","KW 7320",Yes,PRA,02-FEB-25,31-DEC-25
FRO,FRO,XPYT,Jupiter,9273777,"VN 99",MTS,"LC 843","OA 68","KW 8000",Yes,WHB,02-FEB-25,31-DEC-25
FRO,FRO,XPRE,"Christian i Grotinum",9915430,"KG 690",MTS,"LC 4985","OA 89","KW 7320",Yes,HER,31-JAN-25,31-DEC-25
FRO,FRO,XPRE,"Christian i Grotinum",9915430,"KG 690",MTS,"LC 4985","OA 89","KW 7320",Yes,WHB,31-JAN-25,31-DEC-25
FRO,FRO,XPRE,"Christian i Grotinum",9915430,"KG 690",MTS,"LC 4985","OA 89","KW 7320",Yes,MAC,31-JAN-25,31-DEC-25
FRO,FRO,XPSA,Hoyvik,7719985,TN0090,MTS,"LC 2061","OA 66","KW 3600",Yes,MAC,01-FEB-25,31-DEC-25
FRO,FRO,XPSA,Hoyvik,7719985,TN0090,MTS,"LC 2061","OA 66","KW 3600",Yes,WHB,01-FEB-25,31-DEC-25
FRO,FRO,XPSA,Hoyvik,7719985,TN0090,MTS,"LC 2061","OA 66","KW 3600",Yes,HER,01-FEB-25,31-DEC-25
FRO,FRO,XPSE,Borgarin,9278258,KG0491,MTS,"LC 2921","OA 78","KW 7680",Yes,WHB,01-FEB-25,31-DEC-25
FRO,FRO,XPSE,Borgarin,9278258,KG0491,MTS,"LC 2921","OA 78","KW 7680",Yes,HER,01-FEB-25,31-DEC-25
FRO,FRO,XPSE,Borgarin,9278258,KG0491,MTS,"LC 2921","OA 78","KW 7680",Yes,MAC,01-FEB-25,31-DEC-25
FRO,FRO,XPUT,"Arctic Voyager",9167904,TG0965,MTS,"LC 2205","OA 70","KW 7380",Yes,WHB,02-FEB-25,31-DEC-25
FRO,FRO,XPUT,"Arctic Voyager",9167904,TG0965,MTS,"LC 2205","OA 70","KW 7380",Yes,HER,02-FEB-25,31-DEC-25
FRO,FRO,XPUT,"Arctic Voyager",9167904,TG0965,MTS,"LC 2205","OA 70","KW 7380",Yes,MAC,02-FEB-25,31-DEC-25
FRO,FRO,XPWC,"Katrin Johanna",9151591,"VA 410",MTS,"LC 1914","OA 73","KW 3960",Yes,HER,02-FEB-25,31-DEC-25
FRO,FRO,XPWC,"Katrin Johanna",9151591,"VA 410",MTS,"LC 1914","OA 73","KW 3960",Yes,WHB,02-FEB-25,31-DEC-25
FRO,FRO,XPWC,"Katrin Johanna",9151591,"VA 410",MTS,"LC 1914","OA 73","KW 3960",Yes,MAC,02-FEB-25,31-DEC-25
