"NPFC Vessel_id",flag_state,vessel_name,previous_name,registration_no,"Previous Registration",port_of_registry,"Previous Port(s) of Registry",imo,previous_flag,call_sign,mmsi,communication_details,vessel_type,crew,type_of_fishing_method,type_of_length,length,unit_length,type_of_depth,depth,unit_depth,type_of_beam,beam,unit_beam_depth,tonnage,tonnage_type,power_of_engine,unit_engine,fish_hold_capacity,freezer_capacity,freezer_type,unit_freezer
1995,Canada,"OCEAN PEARL",,20471,,,,7910187,,CFL5494,,,"Trap setters nei (WOX)",,,"Length Overall (LOA)",33.53,Meters,,,,"Moulded Breadth",9.75,Meters,374.90,"Gross Tonnage (GT)",,,,,,
1536,China,"CHANG TAI 801",,"(ZHE)CHUAN DENG(JI)(2025)FT-200033",,Zhoushan,,8774891,,BZ7VY,412354055,"Satellite-based telephony17498503901","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",3.98,Meters,"Moulded Breadth",8.00,Meters,479.00,"Gross Tonnage (GT)",662.00,"Kilowatts (kW)",324.00m³,,,
1537,China,"CHANG TAI 802",,"(ZHE)CHUAN DENG(JI)(2025)FT-200032",,Zhoushan,,8775405,,BZ8VY,412354056,"Satellite-based telephony17498503986","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",3.98,Meters,"Moulded Breadth",8.00,Meters,479.00,"Gross Tonnage (GT)",662.00,"Kilowatts (kW)",324.00m³,,,
1538,China,"CHANG TAI 806",,"(ZHE)CHUAN DENG(JI)(2023)FT-200217",,Zhoushan,,8775417,,BZ9VY,412354057,"17497026817  telephone: 17498500948","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",3.98,Meters,"Moulded Breadth",8.00,Meters,479.00,"Gross Tonnage (GT)",662.00,"Kilowatts (kW)",323.88m³,,,
1540,China,"CHANG TAI 809",,"(ZHE)CHUAN DENG(JI)(2025)FT-200034",,Zhoushan,,8775431,,BZU5N,412354168,17498503871,"Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",4.00,Meters,"Moulded Breadth",8.00,Meters,477.00,"Gross Tonnage (GT)",750.00,"Kilowatts (kW)",379.00m³,,,
1541,China,"CHANG TAI 810",,"(ZHE)CHUAN DENG(JI)(2025)FT-200035",,Zhoushan,,8775443,,BZV1X,412354446,"Satellite-based telephony17498503947","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",4.00,,"Moulded Breadth",8.00,Meters,477.00,"Gross Tonnage (GT)",750.00,"Kilowatts (kW)",379.00m³,,,
1546,China,"CHANG TAI 811",,"(ZHE)CHUAN DENG(JI)(2025)FT-200036",,Zhoushan,,8775455,,BZV2X,412354445,"Satellite-based telephony17498503948","Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",4.00,Meters,"Moulded Breadth",8.00,Meters,477.00,"Gross Tonnage (GT)",750.00,"Kilowatts (kW)",379.00m³,,,
1547,China,"CHANG TAI 812",,"(ZHE)CHUAN DENG(JI)(2025)FT-200037",,Zhoushan,,8775467,,BZU6N,412354167,17498503940,"Hand liner vessels (LH)",28,"Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",44.96,Meters,"Moulded Depth",4.00,Meters,"Moulded Breadth",8.00,Meters,477.00,"Gross Tonnage (GT)",750.00,"Kilowatts (kW)",379.00m³,,,
1826,China,DAPINGYUYUN99,,"(LIAO)CHUANDENG (JI) (2021) FT-200026",,,,9931202,,BZV9J,412549338,"Satellite-based telephony  00870776908835  Ｃ441204399","FISH CARRIERS AND REEFERS (FO)",28,,"Length Overall (LOA)",108.05,Meters,"Moulded Depth",10.50,Meters,"Moulded Breadth",17.00,Meters,5185.00,"Gross Register Tonnage (GRT)",2700.00,"Kilowatts (kW)",7200.00m³,,,
1984,China,"DONG FANG 101",,17DJ1013810,,Zhoushan,,1069247,,BPZH3,413610780,"F: 00 870 773 906 558  Satelite-based telephony: 0580 585 3286","FISH CARRIERS AND REEFERS (FO)",28,,"Length Overall (LOA)",146.20,Meters,,11.70,Meters,"Moulded Breadth",20.20,Meters,9567.00,"Gross Register Tonnage (GRT)",6080.00,"Kilowatts (kW)",13288.61m³,,,
1997,China,"DONG FANG 102",,17DJ1013857,,Zhoushan,,1069259,,BPZR8,413610790,"Satelite-based telephony  telephone: 05805859196","FISH CARRIERS AND REEFERS (FO)",28,,"Length Overall (LOA)",146.20,Meters,,11.70,Meters,"Moulded Breadth",20.20,Meters,9567.00,"Gross Register Tonnage (GRT)",6080.00,"Kilowatts (kW)",13288.61m³,,,
1195,China,"DONG YU 1519",,(ZHE)CHUANDENG(JI)(2021)FT-200065,,Zhoushan,,8775479,,BZ8VK,412420597,"C-441202642  Satellite-based telephony-17498502161  Other data service/devices  IPS: 300534061772370","Stick-held dip netters (NS), Hand liner vessels (LH)",33,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",59.83,Meters,,6.20,Meters,"Moulded Breadth",9.80,Meters,950.00,"Gross Tonnage (GT)",1470.00,"Kilowatts (kW)",615.42m³,,,
619,China,"DONG YU 1528",,(ZHE)CHUANDENG(JI)(2021)FT-200051,,Zhoushan,,9819909,,BZW9B,412421022,"C: 441201016  Satellite-based Telephony: 17498503738  Other data service/devices  IPS:300234067377800","Stick-held dip netters (NS), Hand liner vessels (LH)",46,"Stick-held dip net (SHDN), Handlines and hand-operated pole-and-lines (LHP)","Length Overall (LOA)",72.65,Meters,,7.30,Meters,"Moulded Breadth",11.60,Meters,1687.00,"Gross Tonnage (GT)",1710.00,"Kilowatts (kW)",1430.41m³,100,Ice,"Tons / Day"
