Vessel Name,Flag State,Vessel Type,IRCS,IMO #,FFA ID,Length Overall,Gross Weight,VDS Reg No.,Valid From,Valid To
ALBATUN TRES,ES,Single Purse Seiner,EADN,9281310,35571,115.00,4406.00,PSES-2025-0342,2025-01-01,2025-12-31
AMAGI,PA,Reefer Carrier,H3FL,9170963,35445,95.95,2782.00,RCPA-2025-0441,2025-01-01,2025-12-31
AMARYLLIS 88,PG,Single Purse Seiner,P2V5709,8748529,27441,65.50,1098.00,PSPG-2025-0627,2025-01-01,2025-12-31
ANGARA,PA,Reefer Carrier,3FVD,9136890,35604,100.72,3767.00,RCPA-2025-0608,2025-02-15,2026-02-14
ANGEL 101,VU,Bunker,YJTB2,9101455,36059,110.00,4974.00,BKVU-2025-0703,2025-08-19,2026-08-18
ANGEL 106,VU,Bunker,YJXQ7,9141895,37045,117.00,6275.00,BKVU-2025-0560,2025-02-20,2026-02-19
ANGEL 118,PA,Bunker,3FWP4,9105310,36996,104.95,2973.00,BKPA-2025-0633,2025-04-14,2026-04-13
ANGEL 22,VU,Bunker,YJTA8,9191230,36887,105.20,5483.00,BKVU-2025-0689,2025-07-29,2026-07-28
ANGEL 38,PA,Bunker,3E2437,9175743,36710,125.00,5994.00,BKPA-2024-0649,2024-10-15,2025-10-14
ANGEL NO.1,PA,Bunker,3EAT7,9434709,36823,127.90,8559.00,BKPA-2025-0291,2025-01-01,2025-12-31
ANGEL NO.2,PA,Bunker,HPTG,9146027,36866,129.00,9488.00,BKPA-2024-0648,2024-09-26,2025-09-25
AT GLORY,PA,Bunker,H3DO,9223710,36970,110.00,5101.00,BKPA-2025-0290,2025-01-01,2025-12-31
BADARO,KR,Reefer Carrier,D7MZ,9163439,36305,120.12,4643.00,RCKR-2025-0459,2025-01-01,2025-12-31
BELINDA,PH,Single Purse Seiner,DYDF,9108946,32930,69.26,1096.00,PSPH-2025-0166,2025-01-01,2025-12-31
BLUE FORTUNE 32,KI,Long Liner,T3AK,9639098,36173,39.60,264.00,LLKI-2025-0526,2025-01-01,2025-12-31
BONAMI,KR,Single Purse Seiner,6KSG,9848869,36913,79.80,1862.00,PSKR-2025-0142,2025-01-01,2025-12-31
BOYANG BERING,PA,Reefer Carrier,3EGZ,9851191,36868,134.34,6592.00,RCPA-2024-0673,2024-12-19,2025-12-18
BOYANG CAPELLA,PA,Reefer Carrier,3FEZ2,9886794,36957,134.34,6655.00,RCPA-2025-0643,2025-04-25,2026-04-24
CAPE BRETON,US,Single Purse Seiner,WDE2397,7803255,33850,79.75,2019.00,PSUS-2025-0628,2025-01-01,2025-12-31
CAPE COD,US,Single Purse Seiner,WDD5547,7806283,33176,67.36,1341.00,PSUS-2025-0629,2025-01-01,2025-12-31
CAPE ELIZABETH III,US,Single Purse Seiner,WDF8203,962922,25957,76.50,1930.00,PSUS-2025-0431,2025-01-01,2025-12-31
CAPE FERRAT,US,Single Purse Seiner,WDE2398,7803267,34079,79.77,2019.00,PSUS-2025-0432,2025-01-01,2025-12-31
CAPE FINISTERRE,US,Single Purse Seiner,WDA4699,7912094,7948,72.63,1809.00,PSUS-2025-0433,2025-01-01,2025-12-31
CAPT. VINCENT GANN,US,Single Purse Seiner,WDJ6149,9018880,32805,68.80,1930.00,PSUS-2025-0517,2025-01-01,2025-12-31
CARIBE,TV,Single Purse Seiner,T2PC5,8102854,25908,76.64,1691.00,PSTV-2025-0150,2025-01-01,2025-12-31
CAROLINE I,FM,Single Purse Seiner,V6P91,8102866,25874,77.16,1678.00,PSFM-2025-0454,2025-01-01,2025-12-31
CENTURY PRIDE,NR,Single Purse Seiner,C2AZ2,9417397,35772,72.37,1416.00,PSNR-2025-0239,2025-01-01,2025-12-31
CENTURY RANGER,NR,Single Purse Seiner,C2BA2,9394789,35774,72.37,1415.00,PSNR-2025-0539,2025-01-01,2025-12-31
CFA 20,FM,Long Liner,V6P007,8994348,34426,26.82,139.00,LLFM-2025-0317,2025-01-01,2025-12-31
CFA 22,FM,Long Liner,V6P22,8795625,36214,29.70,96.00,LLFM-2025-0363,2025-01-01,2025-12-31
CFA 23,FM,Long Liner,V6P23,8795637,36242,29.70,96.00,LLFM-2025-0318,2025-01-01,2025-12-31
CFA 25,FM,Long Liner,V6P25,8795649,36244,29.70,96.00,LLFM-2025-0364,2025-01-01,2025-12-31
CFA 26,FM,Long Liner,V6P26,8795651,35939,29.70,96.00,LLFM-2025-0319,2025-01-01,2025-12-31
CFA 27,FM,Long Liner,V6P27,8795663,35940,29.70,96.00,LLFM-2025-0320,2025-01-01,2025-12-31
CHANG LI NO.1,TW,Reefer Carrier,BH3293,8680583,35230,53.15,498.00,RCTW-2024-0692,2024-12-25,2025-12-24
CHANG SHENG 36,VU,Bunker,YJTA7,9258040,36822,113.00,5328.00,BKVU-2024-0652,2024-10-09,2025-10-08
CHENILLE,PH,Single Purse Seiner,DUG9082,8204585,7294,61.55,899.00,PSPH-2025-0126,2025-01-01,2025-12-31
CHERRY STAR,KR,Reefer Carrier,DSNK2,9015840,35143,103.60,3942.00,RCKR-2025-0447,2025-01-01,2025-12-31
CHESSA-888,PH,Reefer Carrier,DUE -6334,8508840,35064,88.32,2436.00,RCPH-2024-0694,2024-12-25,2025-12-24
CHIEN YUAN MING NO.88,CN,Long Liner,BG3827,9980203,37086,33.00,198.00,LLCN-2025-0397,2025-01-01,2025-12-31
CONCORD BREEZE,PA,Bunker,3E7466,9319698,37126,244.60,61822.00,BKPA-2025-0527,2025-01-15,2026-01-14
CONCORD SERENITY,PA,Bunker,3E3402,9277785,37037,228.19,42470.00,BKPA-2025-0632,2025-04-14,2026-04-13
COSMOS KIM,TV,Single Purse Seiner,T2QA5,8103092,16949,77.10,1691.00,PSTV-2025-0151,2025-01-01,2025-12-31
CROMWELL 1,FM,Single Purse Seiner,V6PC1,9732656,36656,70.80,1408.00,PSFM-2025-0265,2025-01-01,2025-12-31
CROMWELL 101,FM,Single Purse Seiner,V6PC101,9853773,36834,73.00,1633.00,PSFM-2025-0266,2025-01-01,2025-12-31
