Vessel Flag,Vessel Name,IMO Number,Vessel Type,Gross Tonnage,Length,Currently Authorised,Date Included in SPRFMO Record,Vessel Authorisation End Date,Flag Authorisation Start Date,Participant,Registration,Call Sign,Previous Names,Port of Registry,Previous Flag,Fishing Methods,Length Type,Gross Register Tonnage,Power of main engine(s),Hold Capacity,When Built,Where Built,Moulded Depth,Beam
VUT,FREY,8907008,01.2.2 - Trawlers - Stern Trawlers - Freezer,,105.0,No,2011-01-01T00:00:00Z,2011-12-31T23:59:59Z,,Vanuatu,1249,YJRN7,"Pegasus, Stimul",Port Vila,RUS,03.2.1 - Trawls - Midwater Trawls - Otter Trawls,LOA,7805.0,5888.0,5500.0,1991,"Naval Gijon, Gijon, Spain",9.2,20.0
VUT,FRIGG,8907113,01.2.2 - Trawlers - Stern Trawlers - Freezer,,105.0,No,2016-02-17T00:00:00Z,2016-12-31T23:59:59Z,2016-01-01,Vanuatu,1123,YJRB2,"Aphrodite, Vigo",Port Vila,RUS,03.2.1 - Trawls - Midwater Trawls - Otter Trawls,LOA,7805.0,5888.0,3000.0,1993,"Factorius Vulcano, Vigo, Spain",9.2,20.0
VUT,ODIN,8907084,01.2.2 - Trawlers - Stern Trawlers - Freezer,,105.0,No,2016-02-17T00:00:00Z,2016-12-31T23:59:59Z,2016-01-01,Vanuatu,1124,YJRB3,"Hermes, Solidarnost",Port Vila,RUS,03.2.1 - Trawls - Midwater Trawls - Otter Trawls,LOA,7805.0,5888.0,3000.0,1992,"Factorius Vulcano, Vigo, Spain",9.2,20.0
VUT,THOR,8907058,01.2.2 - Trawlers - Stern Trawlers - Freezer,,105.0,No,2012-01-01T00:00:00Z,2012-12-31T23:59:59Z,,Vanuatu,1248,YJRN6,"Icarus, Boris Trofimenko",Port Vila,RUS,03.2.1 - Trawls - Midwater Trawls - Otter Trawls,LOA,7805.0,5888.0,5500.0,1994,"Naval Gijon, Gijon, Spain",9.2,20.0
CHL,AGUILA REAL,7931260,02.1.0 - Seiners - Purse Seiners,249.75,34.21,No,2007-08-08T00:00:00Z,2022-12-01T23:59:59Z,2007-08-08,Chile,2364,cb2849,,Valparaíso,,02.9.0 - Seine Nets (not specified),Loa,,633.76,370.0,1983,PER,4.09,8.08
CHL,ALCANTARA,6804343,02.1.0 - Seiners - Purse Seiners,596.0,43.73,Yes,2007-05-02T00:00:00Z,2999-12-31T23:59:59Z,2007-05-02,Chile,2878,cb3834,,Valparaíso,,02.9.0 - Seine Nets (not specified),LOA,,1192.96,692.5,1968,NOR,4.95,8.5
CHL,ALEJANDRIA I,,02.1.0 - Seiners - Purse Seiners,238.0,34.27,No,2007-08-21T00:00:00Z,2011-12-31T23:59:59Z,,Chile,2323,cb2293,,Valparaíso,PER,02.9.0 - Seine Nets (not specified),Loa,,1192.96,397.5,1971,PER,3.8,7.93
CHL,ALERCE,7112254,02.1.0 - Seiners - Purse Seiners,,33.5,Yes,2007-07-31T00:00:00Z,2999-12-31T23:59:59Z,2007-07-31,Chile,2261,cb2121,Lima 1,Valparaíso,PER,02.9.0 - Seine Nets (not specified),Loa,243.61,671.04,372.9,1971,PER,3.46,8.03
CHL,ALLIPEN I,,02.1.0 - Seiners - Purse Seiners,786.0,47.3,No,2007-07-20T00:00:00Z,2011-12-31T23:59:59Z,,Chile,2685,cb4493,,Valparaíso,,02.9.0 - Seine Nets (not specified),Loa,,1622.43,138.25,1990,CHL,6.0,10.4
CHL,AMERICA 2,,02.1.0 - Seiners - Purse Seiners,,21.95,No,2007-07-31T00:00:00Z,2011-12-31T23:59:59Z,,Chile,1718,cb3285,,Valparaíso,,02.9.0 - Seine Nets (not specified),Loa,81.92,465.25,138.25,1963,CHL,2.59,6.63
